Customer_Segment,Acquisition_Channel,Region,Tenure_Months,Customer_Lifetime_Value,CSAT_Rating,Churn
Regular Consumer,Social Media,North America,29,1015.92,5,0
Regular Consumer,Paid Search,North America,22,565.35,1,1
High-Tier VIP,Email Referral,Asia-Pacific,27,5593.25,5,0
Budget Hunter,Email Referral,Latin America,10,386.71,4,0
Budget Hunter,Social Media,North America,16,261.86,4,0
Budget Hunter,Organic/Direct,North America,42,196.97,1,1
High-Tier VIP,Organic/Direct,North America,42,4817.04,4,1
High-Tier VIP,Social Media,Europe,10,6385.45,4,0
Regular Consumer,Paid Search,Asia-Pacific,6,1158.61,4,0
Regular Consumer,Social Media,North America,5,1002.47,4,0
Regular Consumer,Organic/Direct,North America,6,918.88,4,1
Budget Hunter,Organic/Direct,Asia-Pacific,47,459.32,5,0
High-Tier VIP,Social Media,Europe,25,3623.35,3,0
Regular Consumer,Email Referral,North America,4,1088.65,5,0
Regular Consumer,Paid Search,Europe,40,1512.52,2,0
Regular Consumer,Social Media,North America,32,1391.24,5,0
Budget Hunter,Organic/Direct,North America,35,320.87,5,0
Budget Hunter,Organic/Direct,Asia-Pacific,10,288.84,3,0
Regular Consumer,Social Media,Asia-Pacific,34,1639.67,4,0
Budget Hunter,Paid Search,Europe,36,252.32,4,0
Regular Consumer,Paid Search,Latin America,6,1136.91,2,1
Budget Hunter,Social Media,Europe,43,218.24,4,0
Regular Consumer,Social Media,Asia-Pacific,46,1556.66,3,0
Budget Hunter,Paid Search,Europe,16,308.45,5,0
Budget Hunter,Organic/Direct,Asia-Pacific,19,288.78,5,0
Regular Consumer,Social Media,Latin America,34,1398.5,4,0
Budget Hunter,Organic/Direct,North America,25,225.27,4,1
Regular Consumer,Organic/Direct,Latin America,31,1390.61,4,0
Regular Consumer,Paid Search,Asia-Pacific,41,1091.84,3,0
Regular Consumer,Paid Search,Asia-Pacific,17,838.41,4,0
High-Tier VIP,Organic/Direct,North America,47,3385.95,4,0
Regular Consumer,Social Media,Asia-Pacific,30,994.74,5,0
Budget Hunter,Organic/Direct,Asia-Pacific,39,311.15,4,0
Budget Hunter,Organic/Direct,North America,31,245.13,4,0
Budget Hunter,Organic/Direct,Latin America,19,375.77,4,1
Regular Consumer,Email Referral,North America,35,832.58,3,0
Budget Hunter,Social Media,North America,29,143.05,4,0
Regular Consumer,Social Media,Europe,1,1775.89,4,1
Regular Consumer,Social Media,Europe,4,1259.38,3,0
Budget Hunter,Paid Search,Europe,28,525.83,4,0
Regular Consumer,Social Media,North America,18,886.9,4,0
Budget Hunter,Paid Search,Latin America,26,391.98,4,0
Budget Hunter,Email Referral,North America,40,428.28,4,1
Regular Consumer,Social Media,North America,19,1143.2,4,1
Regular Consumer,Social Media,North America,6,766.67,4,0
Regular Consumer,Social Media,Europe,1,1120.66,5,0
Regular Consumer,Paid Search,Latin America,8,1387.92,3,1
Budget Hunter,Paid Search,Europe,33,401.47,5,0
High-Tier VIP,Social Media,Asia-Pacific,43,4498.17,4,0
Regular Consumer,Paid Search,North America,21,1469.19,4,1
Regular Consumer,Social Media,Europe,24,1455.03,4,0
Budget Hunter,Email Referral,Europe,25,304.18,3,0
Regular Consumer,Email Referral,Europe,47,743.87,2,0
Budget Hunter,Organic/Direct,North America,43,366.66,4,1
Budget Hunter,Paid Search,Europe,19,284.67,4,0
High-Tier VIP,Email Referral,Europe,29,4661.72,4,0
Budget Hunter,Email Referral,Asia-Pacific,10,467.73,4,0
Corporate/Bulk,Paid Search,Europe,12,12203.1,3,0
Regular Consumer,Organic/Direct,North America,33,1588.88,3,1
Budget Hunter,Paid Search,Europe,7,261.5,4,1
Regular Consumer,Organic/Direct,North America,17,1526.24,3,0
High-Tier VIP,Email Referral,Asia-Pacific,10,6386.17,4,0
Regular Consumer,Paid Search,Europe,31,1219.3,3,0
High-Tier VIP,Email Referral,North America,6,7112.31,4,0
Regular Consumer,Social Media,Latin America,17,942.77,2,0
Regular Consumer,Email Referral,Europe,37,1008.35,3,1
High-Tier VIP,Social Media,North America,18,5231.18,4,0
Budget Hunter,Organic/Direct,Europe,26,354.77,4,1
Regular Consumer,Paid Search,North America,16,977.13,3,0
Budget Hunter,Paid Search,Asia-Pacific,8,404.17,5,0
Corporate/Bulk,Paid Search,Asia-Pacific,24,11977.74,3,1
High-Tier VIP,Email Referral,Latin America,13,3840.44,4,1
Budget Hunter,Organic/Direct,Europe,29,366.54,3,1
Regular Consumer,Email Referral,Europe,32,1427.71,3,0
High-Tier VIP,Email Referral,Asia-Pacific,24,3815.48,4,0
Budget Hunter,Paid Search,North America,16,395.24,3,0
Regular Consumer,Social Media,Europe,11,939.89,4,0
High-Tier VIP,Paid Search,Europe,32,3741.95,3,0
Budget Hunter,Paid Search,North America,6,447.26,4,0
Regular Consumer,Paid Search,Europe,35,1384.12,3,0
Budget Hunter,Social Media,Asia-Pacific,33,184.9,3,1
High-Tier VIP,Paid Search,Asia-Pacific,18,4079.0,1,1
Corporate/Bulk,Paid Search,North America,37,12346.67,4,0
High-Tier VIP,Paid Search,North America,13,4656.22,4,1
Regular Consumer,Paid Search,North America,10,1385.46,5,1
High-Tier VIP,Email Referral,Asia-Pacific,37,4630.48,4,0
High-Tier VIP,Organic/Direct,North America,26,4350.83,4,0
Budget Hunter,Email Referral,Asia-Pacific,46,335.72,4,1
High-Tier VIP,Social Media,North America,17,5727.58,1,1
Budget Hunter,Paid Search,Europe,1,410.81,3,1
Regular Consumer,Organic/Direct,North America,25,1321.42,4,0
Budget Hunter,Paid Search,Asia-Pacific,34,357.77,4,0
Budget Hunter,Paid Search,North America,39,301.98,2,0
Budget Hunter,Paid Search,Europe,10,323.16,4,1
Regular Consumer,Paid Search,North America,20,1519.4,4,0
Budget Hunter,Paid Search,Asia-Pacific,7,434.92,4,1
Regular Consumer,Social Media,Asia-Pacific,16,1005.43,3,0
Budget Hunter,Organic/Direct,North America,37,358.74,4,0
Budget Hunter,Paid Search,Asia-Pacific,29,393.62,1,0
Regular Consumer,Paid Search,Europe,12,1329.96,2,0
Regular Consumer,Organic/Direct,North America,17,1327.64,4,0
Budget Hunter,Paid Search,Europe,20,252.69,3,1
Regular Consumer,Paid Search,North America,26,848.55,3,0
High-Tier VIP,Email Referral,Asia-Pacific,19,5816.47,3,0
Regular Consumer,Paid Search,Asia-Pacific,47,1652.71,4,0
Budget Hunter,Paid Search,North America,12,220.37,1,1
Budget Hunter,Social Media,Europe,21,347.57,3,0
High-Tier VIP,Paid Search,Asia-Pacific,42,5415.81,4,0
Budget Hunter,Social Media,Latin America,34,157.17,4,0
High-Tier VIP,Organic/Direct,Europe,7,3292.49,5,0
Regular Consumer,Paid Search,Latin America,45,1172.34,3,1
High-Tier VIP,Social Media,Europe,35,3828.11,3,0
Regular Consumer,Social Media,North America,15,1262.74,4,0
Corporate/Bulk,Paid Search,Asia-Pacific,1,15043.83,3,1
Budget Hunter,Social Media,Europe,26,275.38,5,0
Regular Consumer,Paid Search,Europe,35,1215.08,4,0
Regular Consumer,Social Media,Europe,25,1096.56,3,0
Regular Consumer,Paid Search,Asia-Pacific,42,1240.91,4,0
Regular Consumer,Social Media,Asia-Pacific,15,1201.74,1,1
High-Tier VIP,Paid Search,Europe,22,7466.85,5,0
Corporate/Bulk,Organic/Direct,North America,6,15096.34,5,0
Regular Consumer,Paid Search,Europe,15,725.72,4,0
Regular Consumer,Social Media,Europe,24,929.96,2,0
Regular Consumer,Social Media,North America,21,966.64,3,0
Regular Consumer,Organic/Direct,Asia-Pacific,7,829.72,3,1
Budget Hunter,Social Media,Europe,29,230.27,3,0
Budget Hunter,Organic/Direct,North America,32,334.39,4,0
Budget Hunter,Organic/Direct,North America,32,285.28,5,0
Budget Hunter,Email Referral,North America,5,272.06,4,1
Budget Hunter,Paid Search,Latin America,4,526.79,4,0
Budget Hunter,Social Media,North America,22,291.3,4,0
Budget Hunter,Organic/Direct,North America,18,311.22,5,0
Budget Hunter,Email Referral,Europe,35,414.88,1,1
Corporate/Bulk,Email Referral,North America,17,9772.05,4,0
Regular Consumer,Social Media,North America,24,850.3,4,0
Regular Consumer,Paid Search,North America,2,1122.62,5,0
Regular Consumer,Social Media,Europe,13,1802.62,5,0
Budget Hunter,Organic/Direct,Europe,15,307.87,4,0
High-Tier VIP,Social Media,North America,5,3474.26,3,0
Regular Consumer,Social Media,Europe,3,1326.07,4,0
Budget Hunter,Organic/Direct,Latin America,37,323.23,1,0
Regular Consumer,Social Media,North America,37,2021.7,4,0
High-Tier VIP,Email Referral,North America,37,3614.74,4,0
High-Tier VIP,Social Media,North America,3,6450.45,4,1
Regular Consumer,Paid Search,Europe,35,1549.02,5,0
Regular Consumer,Social Media,Asia-Pacific,23,1085.6,4,0
Budget Hunter,Organic/Direct,North America,28,349.69,3,1
Corporate/Bulk,Paid Search,Asia-Pacific,30,8167.83,3,0
Budget Hunter,Paid Search,North America,18,302.89,5,0
High-Tier VIP,Email Referral,Europe,36,4063.0,3,0
Regular Consumer,Paid Search,Asia-Pacific,33,1247.36,2,0
Regular Consumer,Social Media,North America,26,776.2,3,0
Regular Consumer,Social Media,Europe,40,1293.45,4,0
Budget Hunter,Social Media,North America,17,337.24,2,1
Budget Hunter,Social Media,Asia-Pacific,40,384.83,5,0
Budget Hunter,Paid Search,North America,7,397.89,5,0
Budget Hunter,Social Media,Asia-Pacific,8,330.23,5,1
Regular Consumer,Social Media,North America,31,1346.46,1,0
Budget Hunter,Organic/Direct,Asia-Pacific,12,342.37,5,1
Budget Hunter,Paid Search,North America,31,415.05,5,0
Corporate/Bulk,Social Media,Asia-Pacific,44,11869.35,5,0
High-Tier VIP,Paid Search,North America,19,4703.67,4,1
High-Tier VIP,Paid Search,Latin America,10,4384.75,4,0
Corporate/Bulk,Paid Search,North America,39,14563.49,2,0
Budget Hunter,Paid Search,North America,12,385.45,5,0
Regular Consumer,Organic/Direct,Europe,20,803.56,1,1
Regular Consumer,Paid Search,North America,37,1058.41,3,0
Regular Consumer,Email Referral,North America,41,1131.42,5,0
Budget Hunter,Email Referral,Latin America,7,349.9,4,0
High-Tier VIP,Social Media,Latin America,14,4698.8,2,1
Budget Hunter,Paid Search,North America,11,267.38,5,0
Budget Hunter,Social Media,Latin America,7,344.05,5,0
Regular Consumer,Organic/Direct,Europe,29,1105.76,3,0
Regular Consumer,Social Media,North America,10,1525.42,5,0
Regular Consumer,Paid Search,Asia-Pacific,29,901.48,3,0
Budget Hunter,Social Media,Europe,9,348.48,3,1
High-Tier VIP,Organic/Direct,Latin America,36,3728.94,3,0
Budget Hunter,Organic/Direct,North America,10,513.01,1,1
Budget Hunter,Paid Search,Europe,19,459.95,3,1
High-Tier VIP,Organic/Direct,North America,31,2652.35,1,0
Corporate/Bulk,Paid Search,North America,17,8810.41,5,0
High-Tier VIP,Paid Search,North America,9,5479.79,4,0
High-Tier VIP,Email Referral,Latin America,45,5014.44,5,1
Regular Consumer,Paid Search,Asia-Pacific,33,1327.78,4,0
Regular Consumer,Paid Search,Asia-Pacific,34,1257.26,2,0
Budget Hunter,Paid Search,Europe,45,433.23,5,0
Regular Consumer,Email Referral,North America,24,1434.29,5,0
Budget Hunter,Organic/Direct,North America,9,324.58,3,0
Budget Hunter,Social Media,North America,7,245.06,2,0
Regular Consumer,Organic/Direct,North America,16,692.98,4,0
Regular Consumer,Paid Search,Asia-Pacific,19,1168.91,4,0
Budget Hunter,Social Media,Europe,39,189.01,5,1
Budget Hunter,Social Media,North America,6,371.96,1,0
Regular Consumer,Paid Search,North America,11,1107.59,2,1
Budget Hunter,Social Media,North America,12,520.09,4,0
High-Tier VIP,Email Referral,Europe,42,4886.02,4,0
Regular Consumer,Paid Search,Latin America,13,1191.23,1,1
Regular Consumer,Paid Search,Europe,12,715.15,3,0
Regular Consumer,Paid Search,Asia-Pacific,21,821.3,4,0
High-Tier VIP,Paid Search,Europe,10,5266.52,4,0
Budget Hunter,Email Referral,North America,20,322.6,3,0
Regular Consumer,Social Media,North America,36,1960.61,4,0
Regular Consumer,Social Media,Asia-Pacific,28,1175.08,5,0
Budget Hunter,Organic/Direct,Asia-Pacific,24,364.78,5,0
High-Tier VIP,Paid Search,North America,5,3018.49,3,0
Regular Consumer,Social Media,Europe,37,1484.23,3,0
Regular Consumer,Social Media,Europe,12,922.28,5,0
High-Tier VIP,Social Media,Europe,35,5089.96,3,0
High-Tier VIP,Email Referral,Latin America,40,5413.27,4,0
Regular Consumer,Organic/Direct,Europe,2,1228.56,4,1
High-Tier VIP,Social Media,Europe,41,6476.59,3,0
Regular Consumer,Organic/Direct,North America,45,1016.79,4,0
Regular Consumer,Paid Search,North America,39,1702.66,4,0
Regular Consumer,Paid Search,North America,42,818.72,4,0
Regular Consumer,Paid Search,North America,9,1439.71,2,0
Budget Hunter,Paid Search,Asia-Pacific,22,337.54,5,0
High-Tier VIP,Social Media,Asia-Pacific,47,3703.35,4,0
High-Tier VIP,Social Media,North America,5,2631.06,4,0
Budget Hunter,Email Referral,Asia-Pacific,12,327.19,5,1
High-Tier VIP,Social Media,North America,1,4135.71,4,1
Budget Hunter,Social Media,North America,44,365.13,4,0
Budget Hunter,Paid Search,North America,22,413.42,5,0
Regular Consumer,Paid Search,North America,38,957.46,3,0
Budget Hunter,Social Media,North America,19,503.85,4,0
High-Tier VIP,Social Media,Europe,16,3894.15,5,0
High-Tier VIP,Organic/Direct,Europe,31,5177.47,2,0
Regular Consumer,Paid Search,Latin America,3,1227.05,1,0
Budget Hunter,Paid Search,North America,23,332.61,5,0
Budget Hunter,Social Media,North America,42,353.51,5,0
Regular Consumer,Paid Search,North America,18,917.91,5,0
Corporate/Bulk,Paid Search,Europe,26,9934.19,1,0
Regular Consumer,Organic/Direct,North America,13,798.07,2,1
Budget Hunter,Paid Search,Asia-Pacific,18,301.94,2,0
Regular Consumer,Social Media,Europe,3,1060.0,4,0
Regular Consumer,Paid Search,Europe,23,1453.57,4,0
Regular Consumer,Paid Search,Europe,3,1100.42,3,1
Budget Hunter,Social Media,North America,25,310.79,1,1
Regular Consumer,Organic/Direct,North America,27,1266.01,4,0
Regular Consumer,Social Media,North America,44,1254.26,4,0
Corporate/Bulk,Organic/Direct,Europe,27,9374.64,2,1
Budget Hunter,Paid Search,North America,39,384.49,5,0
Regular Consumer,Organic/Direct,North America,25,1146.41,3,1
High-Tier VIP,Paid Search,Latin America,24,3833.25,4,0
Budget Hunter,Organic/Direct,North America,8,306.65,5,0
High-Tier VIP,Social Media,Asia-Pacific,9,5568.02,4,0
Regular Consumer,Email Referral,Asia-Pacific,46,1060.37,3,0
Budget Hunter,Social Media,North America,37,372.85,3,0
Budget Hunter,Paid Search,North America,30,237.79,5,0
Regular Consumer,Paid Search,North America,19,1534.59,3,0
Budget Hunter,Organic/Direct,Europe,16,298.99,4,1
Regular Consumer,Social Media,Europe,24,1320.09,5,0
Budget Hunter,Organic/Direct,Asia-Pacific,44,327.99,5,0
Regular Consumer,Paid Search,Latin America,21,1316.65,4,0
Budget Hunter,Paid Search,Europe,36,388.8,5,0
High-Tier VIP,Paid Search,North America,40,4337.25,5,0
Corporate/Bulk,Email Referral,North America,39,5868.6,3,0
Corporate/Bulk,Organic/Direct,Asia-Pacific,47,14000.29,3,0
Regular Consumer,Email Referral,North America,6,1158.03,2,0
Budget Hunter,Paid Search,North America,5,382.2,2,0
Regular Consumer,Social Media,Asia-Pacific,14,1407.52,5,1
Budget Hunter,Organic/Direct,Europe,45,310.0,4,0
Budget Hunter,Paid Search,Latin America,42,395.25,5,0
Budget Hunter,Organic/Direct,Europe,4,284.58,4,0
Regular Consumer,Email Referral,North America,8,1316.26,4,0
Regular Consumer,Email Referral,Latin America,24,1205.91,4,0
Regular Consumer,Organic/Direct,North America,11,1073.25,1,0
Regular Consumer,Paid Search,North America,17,1214.1,5,0
Budget Hunter,Paid Search,Europe,21,257.67,4,1
Corporate/Bulk,Email Referral,North America,26,11849.86,4,0
Regular Consumer,Paid Search,Europe,43,1323.85,1,1
Regular Consumer,Organic/Direct,North America,44,1303.69,5,0
Budget Hunter,Organic/Direct,Europe,45,481.44,5,0
Regular Consumer,Social Media,North America,27,1171.51,4,0
Regular Consumer,Email Referral,Asia-Pacific,16,1192.16,4,0
Budget Hunter,Paid Search,Asia-Pacific,26,247.6,4,0
Budget Hunter,Paid Search,North America,33,487.59,3,1
Regular Consumer,Paid Search,North America,31,750.56,3,0
Regular Consumer,Social Media,North America,47,1268.57,4,0
Budget Hunter,Paid Search,North America,6,296.21,2,1
Corporate/Bulk,Paid Search,Asia-Pacific,44,11171.37,4,0
Budget Hunter,Organic/Direct,Asia-Pacific,8,235.54,4,0
Regular Consumer,Email Referral,North America,7,1467.5,3,1
High-Tier VIP,Paid Search,North America,34,3425.42,3,1
Regular Consumer,Social Media,North America,44,1549.88,3,0
Regular Consumer,Email Referral,Europe,14,921.72,3,0
Regular Consumer,Paid Search,North America,16,1492.56,4,0
Budget Hunter,Paid Search,Latin America,43,277.29,4,0
Corporate/Bulk,Paid Search,Asia-Pacific,9,9309.82,5,0
Regular Consumer,Social Media,North America,10,1199.45,2,1
High-Tier VIP,Paid Search,Europe,17,3546.08,5,0
Budget Hunter,Email Referral,Latin America,12,273.23,3,0
Budget Hunter,Social Media,Europe,6,276.82,4,0
Budget Hunter,Social Media,North America,19,377.9,4,1
Regular Consumer,Paid Search,North America,43,1199.87,4,0
Budget Hunter,Social Media,Asia-Pacific,41,354.61,4,1
High-Tier VIP,Organic/Direct,Europe,29,4134.79,3,0
Regular Consumer,Organic/Direct,Europe,6,1364.61,3,0
Corporate/Bulk,Organic/Direct,Asia-Pacific,25,13887.66,5,0
Budget Hunter,Social Media,Asia-Pacific,24,400.37,3,0
High-Tier VIP,Email Referral,Latin America,25,4264.91,3,0
Regular Consumer,Organic/Direct,North America,16,833.76,1,1
Regular Consumer,Organic/Direct,Europe,16,606.88,3,1
High-Tier VIP,Paid Search,Asia-Pacific,6,4427.03,4,0
Regular Consumer,Paid Search,Asia-Pacific,37,602.04,4,0
Regular Consumer,Paid Search,Europe,21,1140.21,3,0
Budget Hunter,Organic/Direct,North America,4,472.73,2,1
Budget Hunter,Social Media,Asia-Pacific,34,249.07,4,0
High-Tier VIP,Social Media,Asia-Pacific,28,3053.13,4,0
Regular Consumer,Email Referral,North America,38,1391.08,5,0
Regular Consumer,Email Referral,Europe,41,358.28,5,0
Regular Consumer,Email Referral,North America,28,1314.54,5,0
Budget Hunter,Paid Search,North America,17,478.49,4,0
Budget Hunter,Organic/Direct,North America,14,273.66,4,0
Regular Consumer,Paid Search,Europe,7,886.73,2,0
Regular Consumer,Paid Search,Europe,22,1377.01,4,0
Budget Hunter,Paid Search,Europe,1,247.56,1,0
Regular Consumer,Paid Search,Europe,29,1443.25,5,0
Budget Hunter,Social Media,Asia-Pacific,31,254.69,4,1
Regular Consumer,Organic/Direct,North America,30,1730.52,4,0
Budget Hunter,Paid Search,North America,15,407.95,1,1
Regular Consumer,Organic/Direct,Asia-Pacific,18,1211.41,4,0
Budget Hunter,Social Media,North America,35,499.69,3,0
Regular Consumer,Paid Search,Latin America,30,1509.46,3,0
Budget Hunter,Social Media,Asia-Pacific,34,382.25,3,1
Budget Hunter,Paid Search,Europe,42,186.97,1,1
Regular Consumer,Social Media,Latin America,11,989.55,4,0
Regular Consumer,Social Media,North America,27,1525.62,4,0
Regular Consumer,Paid Search,North America,24,809.96,5,0
Budget Hunter,Paid Search,Europe,35,283.0,4,1
Regular Consumer,Social Media,North America,39,893.37,3,0
High-Tier VIP,Email Referral,Latin America,8,4952.65,5,0
Regular Consumer,Paid Search,North America,18,1489.08,4,0
Budget Hunter,Organic/Direct,Europe,13,434.4,4,0
Regular Consumer,Organic/Direct,Europe,45,944.15,4,0
Budget Hunter,Email Referral,Europe,24,384.01,5,0
Budget Hunter,Organic/Direct,North America,23,271.26,3,1
Corporate/Bulk,Social Media,North America,12,10420.99,3,0
Budget Hunter,Organic/Direct,Asia-Pacific,30,395.51,4,0
Regular Consumer,Email Referral,North America,31,1518.41,2,0
Regular Consumer,Social Media,Asia-Pacific,28,555.18,5,0
Regular Consumer,Paid Search,Europe,22,1229.59,4,0
Regular Consumer,Paid Search,Asia-Pacific,44,1622.19,4,0
Budget Hunter,Organic/Direct,Asia-Pacific,28,370.32,4,1
Budget Hunter,Organic/Direct,North America,13,357.23,3,0
Regular Consumer,Paid Search,Europe,25,1031.1,5,0
Budget Hunter,Social Media,Asia-Pacific,44,470.82,5,0
Budget Hunter,Social Media,Europe,46,304.78,4,0
Budget Hunter,Paid Search,Latin America,7,341.24,5,0
Budget Hunter,Email Referral,Europe,45,308.86,1,0
Regular Consumer,Paid Search,North America,6,1232.46,5,0
Budget Hunter,Paid Search,North America,24,474.74,3,0
Regular Consumer,Social Media,Latin America,19,928.17,3,1
Regular Consumer,Organic/Direct,North America,19,1233.77,3,1
High-Tier VIP,Paid Search,Asia-Pacific,36,4939.95,3,0
Budget Hunter,Organic/Direct,Asia-Pacific,9,278.92,3,1
Budget Hunter,Social Media,North America,36,344.84,5,0
Budget Hunter,Paid Search,North America,38,511.99,5,0
Regular Consumer,Paid Search,Asia-Pacific,40,669.45,2,0
Regular Consumer,Social Media,North America,29,1073.64,2,0
Budget Hunter,Paid Search,Asia-Pacific,24,371.92,5,0
High-Tier VIP,Email Referral,Europe,5,4077.06,3,1
Budget Hunter,Organic/Direct,Europe,42,602.55,2,0
Regular Consumer,Email Referral,Asia-Pacific,45,1364.61,4,0
Regular Consumer,Paid Search,North America,26,886.69,4,0
High-Tier VIP,Email Referral,Europe,14,1871.15,3,1
Regular Consumer,Social Media,North America,39,1302.08,4,0
High-Tier VIP,Paid Search,North America,29,3649.93,4,0
Budget Hunter,Paid Search,Europe,6,462.78,2,0
High-Tier VIP,Paid Search,Asia-Pacific,7,4190.78,5,0
Budget Hunter,Organic/Direct,North America,37,300.27,4,0
High-Tier VIP,Social Media,Europe,18,3841.6,3,0
Regular Consumer,Paid Search,Europe,23,1495.95,3,0
High-Tier VIP,Social Media,North America,44,4967.53,2,0
Regular Consumer,Paid Search,North America,38,1726.79,4,0
Regular Consumer,Social Media,Latin America,1,1135.47,2,0
Regular Consumer,Social Media,Asia-Pacific,4,1458.68,4,0
Regular Consumer,Organic/Direct,Europe,44,1463.81,2,0
Budget Hunter,Organic/Direct,Europe,47,408.96,4,0
Budget Hunter,Social Media,North America,35,305.39,4,0
Budget Hunter,Social Media,Europe,23,391.42,4,1
Budget Hunter,Social Media,Europe,27,341.49,4,0
High-Tier VIP,Organic/Direct,Europe,26,4361.04,5,0
Budget Hunter,Paid Search,North America,8,279.49,4,0
Corporate/Bulk,Paid Search,North America,43,5169.07,3,0
Budget Hunter,Paid Search,North America,16,459.23,4,1
Budget Hunter,Social Media,Latin America,41,387.76,5,0
Regular Consumer,Social Media,Europe,3,797.04,2,1
Regular Consumer,Organic/Direct,Europe,32,1415.31,3,0
Regular Consumer,Paid Search,North America,5,1580.44,4,0
Regular Consumer,Social Media,North America,20,1433.3,4,0
Regular Consumer,Organic/Direct,Asia-Pacific,14,932.51,4,0
Budget Hunter,Organic/Direct,Europe,32,285.95,3,0
Corporate/Bulk,Social Media,Europe,26,9493.34,2,0
Corporate/Bulk,Social Media,North America,47,13367.98,5,1
Regular Consumer,Paid Search,Asia-Pacific,6,1343.69,2,1
Budget Hunter,Email Referral,North America,36,594.15,2,0
Regular Consumer,Paid Search,North America,40,707.73,4,0
Budget Hunter,Email Referral,Europe,5,345.4,5,0
Budget Hunter,Organic/Direct,North America,13,181.32,4,0
Budget Hunter,Social Media,North America,32,402.21,5,0
Regular Consumer,Paid Search,Europe,16,1520.07,2,0
High-Tier VIP,Social Media,Europe,1,6122.37,3,0
Regular Consumer,Social Media,Asia-Pacific,13,1256.56,3,0
Regular Consumer,Paid Search,Europe,11,626.01,5,0
Regular Consumer,Organic/Direct,North America,8,1184.96,4,0
Budget Hunter,Email Referral,North America,25,388.22,1,1
Budget Hunter,Social Media,Latin America,40,262.05,4,0
Corporate/Bulk,Organic/Direct,Europe,32,10271.31,3,0
Budget Hunter,Paid Search,Asia-Pacific,24,238.26,4,0
High-Tier VIP,Social Media,North America,28,3810.71,5,0
Regular Consumer,Paid Search,Europe,14,1473.74,3,0
Regular Consumer,Social Media,North America,45,1404.05,3,0
Regular Consumer,Email Referral,Europe,3,781.43,3,0
Regular Consumer,Organic/Direct,Latin America,36,988.5,3,1
High-Tier VIP,Paid Search,Latin America,27,4564.23,2,0
High-Tier VIP,Social Media,Europe,20,4754.84,4,0
Regular Consumer,Social Media,Europe,47,1001.13,3,0
Budget Hunter,Social Media,Latin America,15,391.69,5,0
Regular Consumer,Organic/Direct,Europe,27,1189.42,3,0
High-Tier VIP,Organic/Direct,North America,45,1601.29,3,0
Budget Hunter,Social Media,Europe,41,299.98,3,0
Regular Consumer,Social Media,North America,28,1019.93,4,0
Regular Consumer,Paid Search,Europe,25,1403.48,4,0
Regular Consumer,Paid Search,Europe,42,1408.82,5,0
Budget Hunter,Social Media,Europe,44,203.69,4,0
Regular Consumer,Social Media,North America,46,1331.54,5,0
High-Tier VIP,Organic/Direct,North America,33,4416.79,4,0
Budget Hunter,Organic/Direct,Europe,46,361.06,1,1
Budget Hunter,Paid Search,Asia-Pacific,14,296.29,5,0
Corporate/Bulk,Social Media,Europe,8,10829.97,5,0
Budget Hunter,Paid Search,North America,14,450.65,5,0
High-Tier VIP,Paid Search,Latin America,1,4626.21,2,1
Regular Consumer,Organic/Direct,Latin America,16,1187.27,4,0
Budget Hunter,Paid Search,North America,18,308.07,3,1
High-Tier VIP,Social Media,North America,7,5683.79,3,1
Regular Consumer,Paid Search,Asia-Pacific,15,815.76,4,0
Regular Consumer,Email Referral,Asia-Pacific,24,959.41,5,0
Budget Hunter,Social Media,Latin America,13,232.91,4,0
Regular Consumer,Paid Search,Asia-Pacific,9,1260.21,5,0
Budget Hunter,Social Media,Europe,15,453.23,1,1
Regular Consumer,Organic/Direct,Europe,35,1101.36,1,1
Corporate/Bulk,Email Referral,North America,24,8059.13,4,0
Budget Hunter,Paid Search,North America,33,493.19,3,0
Regular Consumer,Email Referral,Europe,16,1335.38,5,0
Budget Hunter,Email Referral,Europe,8,374.28,3,1
Regular Consumer,Email Referral,Europe,29,1142.94,4,0
Budget Hunter,Social Media,Asia-Pacific,23,408.54,4,0
Corporate/Bulk,Social Media,North America,45,11720.1,3,0
Regular Consumer,Social Media,Europe,31,1055.62,5,0
Budget Hunter,Organic/Direct,North America,40,322.54,4,0
Budget Hunter,Social Media,Europe,14,260.76,4,0
Budget Hunter,Organic/Direct,Asia-Pacific,30,249.85,5,0
Regular Consumer,Social Media,Europe,39,1111.0,3,0
Budget Hunter,Organic/Direct,Latin America,27,450.99,5,0
High-Tier VIP,Organic/Direct,North America,47,3336.57,2,1
Regular Consumer,Paid Search,Europe,16,1450.91,3,0
Budget Hunter,Organic/Direct,North America,6,280.09,5,1
Regular Consumer,Social Media,Europe,33,664.02,5,0
Regular Consumer,Organic/Direct,Asia-Pacific,44,1363.98,3,0
Budget Hunter,Social Media,Europe,18,492.52,4,1
Budget Hunter,Social Media,Asia-Pacific,16,275.12,5,0
Budget Hunter,Email Referral,North America,12,212.64,3,0
Regular Consumer,Paid Search,Asia-Pacific,20,1336.47,1,1
Regular Consumer,Organic/Direct,North America,45,923.05,4,0
Regular Consumer,Social Media,Asia-Pacific,40,1360.99,2,0
High-Tier VIP,Social Media,North America,29,5795.41,3,0
High-Tier VIP,Paid Search,North America,30,4871.94,5,0
Regular Consumer,Social Media,Europe,26,1442.93,1,1
High-Tier VIP,Paid Search,Latin America,22,5418.69,5,0
Budget Hunter,Paid Search,North America,33,436.62,4,0
